audio_path,extension,bytes,sha256,decode_status,sample_rate_hz,channels,frames,duration_ms,subtype,peak_abs,rms_dbfs,silence_ratio,clipping_ratio,qc_status,duplicate_paths,qc_reasons
F1 (1).wav,.wav,16807910,f030b89b374424b04e1f18e940878ad0d42d26e09b567fafe901af9747cb8c99,decoded,44100,1,8403904,190564.717,PCM_16,0.836426,-21.218,0.022705,0.0,technical_pass,[],
F1.wav,.wav,14059394,738bb397d8eba8542f88d21278eee81e44b0238ed167ea883462ce0dd26b7f80,decoded,44100,2,3514829,79701.338,PCM_16,0.385376,-28.529,0.029101,0.0,technical_pass,[],
F2 (1).wav,.wav,45973940,cdf2c9a912edb8a48c9aa071d0a30680f9a2acb7cd7dae2a79bc7c87d284098f,decoded,44100,2,11493474,260622.993,PCM_16,0.909546,-24.734,0.024332,0.0,technical_pass,[],
F2.wav,.wav,6568050,875b611f1d0ccfbae90dc773cd66f71653ac8aff15943a154337455d9a8d18b0,decoded,48000,1,3283968,68416.0,PCM_16,0.481476,-25.874,0.007631,0.0,technical_pass,[],
F3 (1).wav,.wav,42803984,5cda5c9b9bbaeaf92e377b3a0e35b35cb763909f27f6859ec9cc81e8f3500599,decoded,44100,2,10700985,242652.721,PCM_16,0.892273,-24.088,0.045413,0.0,technical_pass,[],
F3.wav,.wav,18296754,56257c9ec69baa5b1984723f4c13b21ae6e5a099f7e8d4c6054fa3be0382e665,decoded,44100,2,4574169,103722.653,PCM_16,0.650299,-26.294,0.019468,0.0,technical_pass,[],
JF1.wav,.wav,17137308,cee5cce47ca1bf9ab4d30f69f7d90cd4b0483a503da28b51caadaff041080e9c,decoded,44100,2,4284288,97149.388,PCM_16,0.999969,-20.618,0.001617,0.0,technical_pass,[],
JF2.wav,.wav,12257436,ea1f2cca902635d2e1fc1cf06382ddabdfd57cc1f58c5eb2c0feefb1c55e3a48,decoded,44100,2,3064320,69485.714,PCM_16,1.0,-22.031,0.002608,3e-06,technical_pass,[],
JF3.wav,.wav,16367772,f90638602a000fee5f92c69925802c8012d737794e1e651001ef00d83d857118,decoded,44100,2,4091904,92786.939,PCM_16,0.848938,-21.507,0.001704,0.0,technical_pass,[],
JM1.wav,.wav,10188444,5a3298d24a38cfe6bcee906aa2a6a9a410472e5e071d38ca51ed0f6b95a9df92,decoded,44100,2,2547072,57756.735,PCM_16,1.0,-21.958,0.008566,0.000168,technical_pass,[],
JM2.wav,.wav,13800448,1724b9130da38fa3e9525b34b692e4067097a0674b96ee5ac91d0f2732ac4ed4,decoded,44100,2,3449088,78210.612,PCM_16,1.0,-21.561,0.001142,0.0,technical_pass,[],
JM3.wav,.wav,17800782,8263bbb88022d22fa5ea49c360c4024c847db778b589e6bf6e16f364147ffbb3,decoded,48000,2,4450176,92712.0,PCM_16,0.311615,-34.808,0.037907,0.0,technical_pass,[],
M1 (1).wav,.wav,27011732,ef8230a0a7dc37713e5956ad211d6dfe5aa4dae30ccf3a7de2579cfbfb17d442,decoded,44100,2,6752907,153127.143,PCM_16,0.361481,-33.536,0.039294,0.0,technical_pass,[],
M1.wav,.wav,14770288,5d67c2cacc49f5dcdfd002a08558beb8f55e366e6923186cccf1bae25378a36b,decoded,48000,2,3692544,76928.0,PCM_16,0.197021,-35.912,0.320454,0.0,technical_pass,[],
M2 (1).wav,.wav,27288654,d6fbb1c39e5d32d00c01d4f2dc1baf8c3188307c78e18644dca1eaaeefd43e6d,decoded,48000,2,6822144,142128.0,PCM_16,0.739716,-25.693,0.006254,0.0,technical_pass,[],
M2.wav,.wav,17756238,349749b8ed75677caae62deaff57b5a92ba39bee87a2de1038a47732de837c86,decoded,48000,2,4439040,92480.0,PCM_16,0.747955,-23.571,0.001858,0.0,technical_pass,[],
